Band-gap,Formation_energy,ICSD_id,Name,of_Atoms,Prototype,Spacegroup,Stability,Volume
0,-0.143697471,77152,MgNi3C,5,CaTiO3,Pm-3m,0,55.4123
0,-2.609043636,71994,SrMoO3,5,CaTiO3,Pm-3m,0.028184324,63.096
3.139,-3.469558349,245565,CeAlO3,5,CaTiO3,Pm-3m,0.009464365,54.1319
4.008,-3.617219923,161594,SrHfO3,5,KNbO3,P4mm,0.035765775,69.013
3.453,-3.319096126,29003,CaZrO3,5,CaTiO3,Pm-3m,0.197948578,70.0928
0.48,-1.411456983,77196,Rb3BrO,5,CaTiO3,Pm-3m,0.019319773,165.919
0,-0.563285623,77151,LuRh3C,5,CaTiO3,Pm-3m,0,71.4022
0,0.204595307,43864,AlPt3C,5,CaTiO3,Pm-3m,0.767222587,73.1757
0,-0.262140061,247273,TlHPd3,5,CaTiO3,Pm-3m,0,69.033
2.743,-0.259365366,56061,KMgH3,5,CaTiO3,Pm-3m,0,62.2594
0,-0.108193556,43846,Ce3AlC,5,CaTiO3,Pm-3m,0.081363464,139.856
0,-0.657920585,181448,CaSi3Pt,5,BaNiSn3,I4mm,0,89.2359
0,-0.746081859,631358,EuSi3Ir,5,,I4mm,0,89.1748
3.143,-0.522221534,76966,TlBrO3,5,FeBiO3,R3m,0.03405484,85.694
0,-0.590331865,76967,TlIO3,5,FeBiO3,R-3m,0.240700618,74.5988
4.607,-2.190074868,77242,CsCaBr3,5,CaTiO3,Pm-3m,0,186.553
4.588,-2.229160854,77243,CsYbBr3,5,CaTiO3,Pm-3m,0.000603474,184.273
0,-0.188099804,43860,Mn3AlC,5,CaTiO3,Pm-3m,0,54.9256
0,-1.804024925,413389,Yb3PbO,5,CaTiO3,Pm-3m,0,109.031
1.819,-2.262605675,157549,AlBiO3,5,CaTiO3,Pm-3m,0.125679825,52.8829
1.469,-1.572696098,157550,GaBiO3,5,CaTiO3,Pm-3m,0.225751168,57.3877
1.719,-2.443993179,27047,SrSnO3,5,CaTiO3,Pm-3m,0.051156913,67.2039
1.996,-2.344281877,29149,CaSnO3,5,NaBaLiNiF6,Pm-3m,0.201584033,65.2197
0.704,-2.85942374,28145,KVF3,5,CaTiO3,Pm-3m,0.059360728,67.9679
0,-1.896049199,413388,Yb3SnO,5,CaTiO3,Pm-3m,0,106.814
0,-1.977664788,157118,SrRuO3,5,GdFeO3,Pm-3m,0.046235628,61.2863
0,-2.795220492,99478,BaTbO3,5,CaTiO3,P4/mmm,0.165649053,84.552
0,-0.273569573,76057,Mn3PdN,5,CaTiO3,Pm-3m,0.025476294,60.6375
0,-0.354542945,76058,Mn3PtN,5,CaTiO3,Pm-3m,0.000377069,60.9144
0.751,-0.140743414,201004,Ag3SI,5,CaTiO3,Pm-3m,0.101556824,125.01
0.656,-2.845277915,28146,RbVF3,5,CaTiO3,Pm-3m,0.043551317,70.5153
1.013,-2.438427495,27049,BaSnO3,5,CaTiO3,Pm-3m,0.004159134,70.9476
1.887,-3.35096099,23076,SrTiO3,5,CaTiO3,Pm-3m,0.002888957,59.9366
0,-1.616721847,201036,Sr3SnO,5,CaTiO3,Pm-3m,0,136.658
0.426,-0.915451028,152053,Sr3BiN,5,CaTiO3,Pm-3m,0,141.169
3.553,-3.443063042,27046,SrZrO3,5,CaTiO3,Pm-3m,0.058468785,71.5999
3.317,-3.47419321,27048,BaZrO3,5,CaTiO3,Pm-3m,0.003656786,74.8799
0,1.451291863,43868,Tm3AlC,5,CaTiO3,Pm-3m,1.721997418,147.503
0,-0.567518755,174261,BaGe3Pd,5,BaNiSn3,I4mm,0,110.24
0,-0.188409069,76056,Mn3NiN,5,CaTiO3,Pm-3m,0.063317421,56.4248
0,-0.878824059,97371,NdBPt3,5,CePt3B,P4mm,0,83.2501
0,-0.198437613,76060,Mn3RhN,5,CaTiO3,Pm-3m,0.089424916,58.7113
0,-0.716917977,161867,CeGe3Rh,5,BaNiSn3,I4mm,0,100.676
0,-0.601696547,174267,BaSi3Pt,5,BaNiSn3,I4mm,0,99.7804
0,-0.134475683,247065,InNi3N,5,CaTiO3,Pm-3m,0,57.9444
3.761,-0.937406153,74768,RbBrO3,5,FeBiO3,R3m,0,86.7322
0,-0.396423269,77226,NdRh3C,5,CaTiO3,Pm-3m,0.007623308,75.9412
3.273,-3.516639689,29110,BaThO3,5,CaTiO3,Pm-3m,0.103611304,97.4382
0,-0.152681558,43863,Pr3AlC,5,CaTiO3,Pm-3m,0.052402439,135.258
0,-0.366229149,77304,PrRh3C,5,CaTiO3,Pm-3m,0.020208687,76.6237
6.973,-3.709330479,201253,RbCaF3,5,CaTiO3,Pm-3m,0.000387214,84.5208
0,-2.08974017,6047,KPdF3,5,GdFeO3,Cmmm,0.004872142,74.2818
0,-1.063639204,98508,Lu3InN,5,CaTiO3,Pm-3m,0,102.104
0,-1.066214007,98507,Tm3InN,5,CaTiO3,Pm-3m,0,105.208
1.314,-1.370383693,36512,K3IO,5,CaTiO3,Pm-3m,0.000385862,150.336
4.102,-2.789035406,23151,KZnF3,5,CaTiO3,Pm-3m,0,64.9581
0,-2.739352566,27690,KCrF3,5,KCuF3(tP5),P4/mmm,0.073784372,67.743
0,-0.317618538,77282,ZrRu3C,5,CaTiO3,Pm-3m,0.007185116,69.1349
0,-0.060306604,77230,ZnNi3C,5,CaTiO3,Pm-3m,0.044980025,53.7252
0,-1.056361551,98505,Ho3InN,5,CaTiO3,Pm-3m,0,109.101
2.3,-1.225013251,97995,KIO3,5,FeBiO3,R3m,0.008274713,84.3458
0,-0.020243709,77216,NbRu3C,5,CaTiO3,Pm-3m,0.183055824,67.0238
4.077,-0.950553481,74769,CsBrO3,5,FeBiO3,R3m,0,96.8314
0,-1.062248183,98506,Er3InN,5,CaTiO3,Pm-3m,0,107.31
0,0.048637139,39861,LiSi3Pd,5,BaNiSn3,I4mm,0.384815771,76.6098
0,1.179059196,76843,Ho3GaC,5,CaTiO3,Pm-3m,1.61473119,145.401
0,-0.635200191,409867,BaGe3Pt,5,BaNiSn3,I4mm,0,110.74
0,1.610498962,76815,Dy3TlC,5,CaTiO3,Pm-3m,1.926970654,176.322
0,-1.438712067,100791,Ba3PbO,5,CaTiO3,Pm-3m,0,168.035
5.582,-2.569088497,31461,CsYbCl3,5,CaTiO3,Pm-3m,0,157.269
0,0.190055925,108178,Pd3PbC,5,CaTiO3,Pm-3m,0.429777005,79.305
0,-0.628279911,168863,SrGe3Pt,5,BaNiSn3,I4mm,0,105.407
1.879,-3.293247232,31864,CaTiO3,5,,Cmmm,0.074070027,57.55
0,-0.445994423,174268,SrSi3Ni,5,BaNiSn3,I4mm,0,86.132
0,-0.63947755,44154,CeBRh3,5,CaTiO3,Pm-3m,0,78.8453
0,-0.3734088,77387,TbRh3C,5,CaTiO3,Pm-3m,0,73.3293
0,-0.551169226,77388,TmRh3C,5,CaTiO3,Pm-3m,0,71.932
1.941,-3.285397082,31155,BaTiO3,5,BaTiO3(orh),Amm2,0.002151282,64.6151
0,-0.522085044,44153,CeBPd3,5,CaTiO3,Pm-3m,0.10476732,85.7427
0,-0.386029762,77390,YbRh3C,5,CaTiO3,Pm-3m,2.04E-05,71.0653
0,-0.285976832,77393,ThRu3C,5,CaTiO3,Pm-3m,0,75.7782
0,1.179135894,76818,Er3GaC,5,CaTiO3,Pm-3m,1.574877069,143.96
0,-0.782620414,629884,DySi3Ir,5,BaNiSn3,I4mm,0,86.1449
0,-0.799957991,44211,DyBRh3,5,CaTiO3,Pm-3m,0,74.2015
0,-1.356419854,20288,FeBiO3,5,FeBiO3,R-3m,0.212645082,59.7496
1.478,-2.4910945,29117,TiPbO3,5,PbTiO3,P4/mmm,0.02554235,61.373
0,-2.37749826,28343,NaWO3,5,CaTiO3,Pm-3m,0.002362098,58.6546
0,-0.265295971,77391,ScRu3C,5,CaTiO3,Pm-3m,0,68.2337
0,-0.843683881,604624,LaSi3Rh,5,BaNiSn3,I4mm,0,90.6923
0,-0.673795188,161866,CeSi3Ru,5,BaNiSn3,I4mm,0,91.073
0,1.184810188,76993,Tm3GaC,5,CaTiO3,Pm-3m,1.535919356,141.913
0,-0.811355044,77397,Sc3SnC,5,CaTiO3,Pm-3m,0,92.9855
0,-0.200085118,108128,CaPd3C,5,CaTiO3,Pm-3m,0.255460491,78.0932
0,-0.861081002,97370,PrBPt3,5,CePt3B,P4mm,0,84.0551
0,0.314248763,108179,SnPt3C,5,CaTiO3,Pm-3m,0.641432483,79.1226
0.509,-1.075168573,69997,CsSnI3,5,CaTiO3,Pm-3m,0.00775513,245.852
0,1.602614837,76999,Gd3TlC,5,CaTiO3,Pm-3m,1.847518551,181.843
0,-0.733341955,631577,EuSi3Rh,5,BaNiSn3,I4mm,0,88.4155
0,2.928806368,77044,ScIr3C,5,CaTiO3,Pm-3m,3.41780798,102.299
0,-0.443808707,77386,SmRh3C,5,CaTiO3,Pm-3m,0,74.7947
0,-0.499109413,77389,YRh3C,5,CaTiO3,Pm-3m,0,73.2571
0,-1.544237977,100790,Sr3PbO,5,CaTiO3,Pm-3m,0,139.276
0,1.466186471,76823,Er3SnC,5,CaTiO3,Pm-3m,1.999388506,170.656
0,1.615981836,77035,Ho3TlC,5,CaTiO3,Pm-3m,1.94639153,173.786
0,-0.508708977,77385,ScRh3C,5,CaTiO3,Pm-3m,1.99E-05,69.0475
5.284,-2.599574641,31463,CsEuCl3,5,CaTiO3,Pm-3m,0.003293438,172.47
1.271,-0.069513253,158250,NaBeH3,5,CaTiO3,Pm-3m,0.122539306,35.1161
0,-0.802287445,621428,CeSi3Ir,5,BaNiSn3,I4mm,0,91.2365
0,-2.218604777,27118,TaSnO3,5,CaTiO3,Pm-3m,0.313046974,65.91
0,-0.115031253,422859,CdNi3N,5,CaTiO3,Pm-3m,0,57.1671
5.25,-1.039870813,10283,RbClO3,5,FeBiO3,R3m,0.024926684,83.6961
0,1.622371284,76824,Er3TlC,5,CaTiO3,Pm-3m,1.947578243,171.407
0,0.300639628,108183,PuRu3C,5,CaTiO3,Pm-3m,0.364968302,72.3719
0,-1.041505769,27777,CaSnO3,5,CaTiO3,Pm-3m,1.504360141,75.7325
0,1.161485401,77405,Yb3SnC,5,CaTiO3,Pm-3m,1.625923527,197.967
0,-0.630322591,44210,DyBPd3,5,CaTiO3,Pm-3m,0.14085068,80.3332
1.383,-1.327054381,62558,CsGeBr3,5,FeBiO3,R3m,0,186.17
0,-0.543859264,44242,EuBRh3,5,CaTiO3,Pm-3m,0.045983639,75.0863
0,-1.356030888,20372,FeBiO3,5,,R-3m,0.213034048,59.7014
0,-1.659212051,100789,Ca3PbO,5,CaTiO3,Pm-3m,0,117.79
0,0.097078591,618636,SnPd3C,5,,P4/mmm,0.528543265,76.1967
1.201,0.114116971,23977,BaLiH3,5,CaTiO3,Pm-3m,0.62407431,121.09
2.013,-0.029367581,23978,SrLiH3,5,CaTiO3,Pm-3m,0.480863969,93.8716
1.022,-0.94801688,62559,CsGeI3,5,FeBiO3,R3m,0.003902496,222.221
4.027,-3.052664917,40658,CaSiO3,5,CaTiO3,Pm-3m,0.239436659,45.5296
2.761,-2.63315979,262105,ZrPbO3,5,CaTiO3,Pm-3m,0.075203387,72.8054
0.658,-0.846912602,79086,K3AuO,5,CaTiO3,Pm-3m,0,145.455
0,-0.776503528,44310,GdBRh3,5,CaTiO3,Pm-3m,0,75.0069
0,-0.670838905,161868,CeGe3Ir,5,BaNiSn3,I4mm,0,101.166
0,-0.682324342,77235,Sc3PbC,5,CaTiO3,Pm-3m,0,94.9752
0,-0.693891082,58673,BaSn3Pd,5,BaNiSn3,I4mm,0,138.021
0,-1.359940183,77661,ThTaN3,5,CaTiO3,Pm-3m,0.146182591,66.1675
2.205,-1.573465848,62557,CsGeCl3,5,FeBiO3,R3m,0,163.142
0,-0.484257447,56396,Y3GaC,5,CaTiO3,Pm-3m,0,115.175
1.523,-0.507866316,35157,AgNO3,5,KNO3(R3m),R3m,0.035009036,58.8649
2.366,-3.338618331,61316,BaNpO3,5,CaTiO3,P4/mmm,0.050595442,88.2665
0,-0.532797521,59908,LaFeGe3,5,BaNiSn3,I4mm,0,94.3133
0,-2.187214025,163228,SrFeO3,5,CaTiO3,Pm-3m,0.001152443,57.0402
0,-0.453212948,99085,Ti3SnH,5,CaTiO3,Pm-3m,0,72.0557
0,-0.06676548,77392,TaRu3C,5,CaTiO3,Pm-3m,0.1665419,66.7782
0,-0.63941805,44241,EuBPd3,5,CaTiO3,Pm-3m,0.024542551,80.6631
0.933,-1.312136361,80320,CsGeBr3,5,CaTiO3,Pm-3m,0.01491802,175.576
0,1.417223733,76998,Gd3SnC,5,CaTiO3,Pm-3m,1.905729053,180.952
1.748,-2.665818746,28578,NaNbO3,5,TiPbO3,Pm-3m,0.039737822,62.5784
2.169,-1.743016409,109294,CsPbCl3,5,PbTiO3,P4mm,0.011598083,183.387
1.853,-1.501100022,109295,CsPbBr3,5,PbTiO3,P4mm,0.016370015,209.94
0,0.050755554,56398,Yb3GaC,5,CaTiO3,Pm-3m,0.318154969,122.885
0,-0.679169762,56405,Y3SnC,5,CaTiO3,Pm-3m,0,117.297
0,-1.037332707,28545,KIO3,5,,Pm-3m,0.195955257,71.9802
0,1.325471614,77558,Yb3TlC,5,CaTiO3,Pm-3m,1.598684008,194.753
0,-2.292050475,109293,RbCuF3,5,KCuF3(tP5),P4/mmm,0.007618638,65.3579
0,-1.202721807,417373,CsAuCl3,5,KCuF3(tP5),P4/mmm,0.069697208,138.482
0,1.451494047,77034,Ho3SnC,5,CaTiO3,Pm-3m,2.003148689,173.003
0,-0.319537895,56397,Sm3GaC,5,CaTiO3,Pm-3m,0.00094106,124.119
0,1.201553933,76849,Nd3GaC,5,CaTiO3,Pm-3m,1.49503147,164.411
0,-0.687478278,56407,Lu3SnC,5,CaTiO3,Pm-3m,0,107.444
0,1.586704671,76778,Ce3TlC,5,CaTiO3,Pm-3m,1.797934155,207.385
0,1.206361413,76851,Pr3GaC,5,CaTiO3,Pm-3m,1.493973032,168.459
0,-0.650149783,56406,Dy3SnC,5,CaTiO3,Pm-3m,0,116.609
0,-0.54363066,56410,Dy3PbC,5,CaTiO3,Pm-3m,0,118.57
0,-0.526200582,56404,Lu3TlC,5,CaTiO3,Pm-3m,0,109.239
0,-1.862441962,43457,TlCuF3,5,KCuF3(tP5),P4/mmm,0.008868598,66.3758
0,-0.346711765,56403,Sm3TlC,5,CaTiO3,Pm-3m,0,129.09
0,-0.614215734,44309,GdBPd3,5,CaTiO3,Pm-3m,0.107544589,81.2515
0,-0.564715202,56411,Tm3PbC,5,CaTiO3,Pm-3m,0,112.686
